player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
401802,Danilo,Ventola,Danilo Ventola,2019,252,danilo-ventola,Italy,Brindisi,Italy,2000-09-11 00:00:00,Centre-Forward,Attack,right,185.0,2023-06-30 00:00:00,Gianfranco Cicchetti,https://img.a.transfermarkt.technology/portrait/header/401802-1658499261.jpg?lm=1,,,,https://www.transfermarkt.co.uk/danilo-ventola/profil/spieler/401802,IT1,Genoa Cricket and Football Club,50000.0,75000.0
401822,Maksym,Lunyov,Maksym Lunyov,2024,3592,maksym-lunyov,Ukraine,"Nikopol, Dnipropetrovsk Oblast",Ukraine,1998-05-22 00:00:00,Left Winger,Attack,left,183.0,2026-06-30 00:00:00,ProStar,https://img.a.transfermarkt.technology/portrait/header/401822-1723572996.png?lm=1,15.0,0.0,,https://www.transfermarkt.co.uk/maksym-lunyov/profil/spieler/401822,UKR1,FK Kryvbas Kryvyi Rig,500000.0,700000.0
401825,Benito,Del Valle,Benito Del Valle,2017,472,benito-del-valle,Spain,Jerez de La Frontera,Spain,1997-02-10 00:00:00,Goalkeeper,Goalkeeper,,,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/benito-del-valle/profil/spieler/401825,ES1,UD Las Palmas,25000.0,50000.0
401836,Bassem,Srarfi,Bassem Srarfi,2021,3508,bassem-srarfi,Tunisia,Tunis,Tunisia,1997-06-25 00:00:00,Right Winger,Attack,left,176.0,2025-06-30 00:00:00,TEAM MANAGEMENT,https://img.a.transfermarkt.technology/portrait/header/401836-1523617047.jpg?lm=1,,,,https://www.transfermarkt.co.uk/bassem-srarfi/profil/spieler/401836,BE1,Sportvereniging Zulte Waregem,300000.0,3000000.0
401884,Ruslan,Marushka,Ruslan Marushka,2016,4482,ruslan-marushka,Ukraine,Lviv,Ukraine,1998-08-23 00:00:00,Centre-Back,Defender,both,192.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/401884-1612038517.png?lm=1,,,,https://www.transfermarkt.co.uk/ruslan-marushka/profil/spieler/401884,UKR1,Volyn Lutsk,50000.0,100000.0
401913,Ramiro,Macagno,Ramiro Macagno,2025,12179,ramiro-macagno,Argentina,Alicia,Argentina,1997-03-18 00:00:00,Goalkeeper,Goalkeeper,right,185.0,2026-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/401913-1747849162.png?lm=1,5.0,0.0,,https://www.transfermarkt.co.uk/ramiro-macagno/profil/spieler/401913,ARG1,Club Sportivo Independiente Rivadavia,,
401918,David,Enogela,David Enogela,2018,23611,david-enogela,Nigeria,Lagos,Nigeria,1998-02-04 00:00:00,Defensive Midfield,Midfield,right,177.0,,,https://img.a.transfermarkt.technology/portrait/header/401918-1446023863.jpg?lm=1,,,,https://www.transfermarkt.co.uk/david-enogela/profil/spieler/401918,UKR1,Olimpik Donetsk,100000.0,100000.0
401920,Kingsley,Michael,Kingsley Michael,2022,1025,kingsley-michael,,Owerri,,1999-08-26 00:00:00,Central Midfield,Midfield,right,176.0,2025-06-30 00:00:00,BTFM,https://img.a.transfermarkt.technology/portrait/header/401920-1598860978.jpg?lm=1,,,,https://www.transfermarkt.co.uk/kingsley-michael/profil/spieler/401920,IT1,Bologna Football Club 1909,150000.0,1000000.0
401921,Funsho,Bamgboye,Funsho Bamgboye,2024,7775,funsho-bamgboye,Nigeria,Ibadan,Nigeria,1999-01-09 00:00:00,Right Winger,Attack,both,173.0,2026-06-30 00:00:00,Avid Sports Group,https://img.a.transfermarkt.technology/portrait/header/401921-1728055194.jpg?lm=1,6.0,2.0,,https://www.transfermarkt.co.uk/funsho-bamgboye/profil/spieler/401921,TR1,Hatayspor,,
401922,Samuel,Chukwueze,Samuel Chukwueze,2025,931,samuel-chukwueze,Nigeria,Umuahia,Nigeria,1999-05-22 00:00:00,Right Winger,Attack,left,172.0,2026-06-30 00:00:00,InterLex Sport,https://img.a.transfermarkt.technology/portrait/header/401922-1767008430.jpg?lm=1,58.0,7.0,,https://www.transfermarkt.co.uk/samuel-chukwueze/profil/spieler/401922,GB1,Fulham Football Club,20000000.0,30000000.0
